sku_norm,ahs_sku_raw,ahs_record_type,ahs_product_id,ahs_parent_product_id,ahs_title,ahs_variant_sku,ahs_price,ahs_cost,ahs_case_pack,ahs_case_cost,price_sheet_sku_raw,price_sheet_price_each,price_sheet_case_pack,price_sheet_case_cost
FT,FT,product,19915,19915,Kartri 8 Gauge Forester Vinyl Shower Curtain With Metal Grommets 72x72 White or Green 12 Per Case Price Per Each,FT,10.95,,,,FT,7.55,12,90.6
G-KNA,G-KNA,product,19842,19842,Kartri Eco-Friendly Karlon Polyester Shower Curtain With Sewn Eyelets 72x72 White 6 Per Case Price Per Each,G-KNA,17.69,,,,G-KNA,12.2,12,146.39999999999998
G-URA,G-URA,product,27183,27183,Kartri Urban Waffle Polyester Shower Curtain With Metal Grommets 72x72 White 6 Per Case Price Per Each,G-URA,40.31,,,,G-URA,27.8,12,333.6
IMPNK,IMPNK,product,27692,27692,Kartri Impressions Nuage Decorative Top Sheet King 112x98 100% Polyester White 10 Per Case Price Per Each,IMPNK,52.2,36,10,360,IMPNK,36,10,360
IMPNQ,IMPNQ,product,27693,27693,Kartri Impressions Nuage Decorative Top Sheet Queen 96x98 100% Polyester White 10 Per Case Price Per Each,IMPNQ,46.47,32.05,10,320.5,IMPNQ,32.05,10,320.5
IMPNT,IMPNT,product,28101,28101,Kartri Impressions Nuage Decorative Top Sheet Twin 74x98 100% Polyester White 10 Per Case Price Per Each,IMPNT,37.48,25.85,10,258.5,IMPNT,25.85,10,258.5
IMPSK,IMPSK,product,27166,27166,Kartri Impressions Santorini Decorative Top Sheet King 112x98 100% Polyester White 10 Per Case Price Per Each,IMPSK,52.2,36,10,360,IMPSK,36,10,360
IMPSQ,IMPSQ,product,27167,27167,Kartri Impressions Santorini Decorative Top Sheet Queen 96x98 100% Polyester White 10 Per Case Price Per Each,IMPSQ,46.47,32.05,10,320.5,IMPSQ,32.05,10,320.5
IMPST,IMPST,product,28102,28102,Kartri Impressions Santorini Decorative Top Sheet Twin 74x98 100% Polyester White 10 Per Case Price Per Each,IMPST,37.48,25.85,10,258.5,IMPST,25.85,10,258.5
IMPWK,IMPWK,product,27168,27168,Kartri Impressions Wave Decorative Top Sheet King 112x98 100% Polyester White 10 Per Case Price Per Each,IMPWK,52.2,36,10,360,IMPWK,36,10,360
IMPWQ,IMPWQ,product,27169,27169,Kartri Impressions Wave Decorative Top Sheet Queen 96x98 100% Polyester White 10 Per Case Price Per Each,IMPWQ,46.47,32.05,10,320.5,IMPWQ,32.05,10,320.5
IMPWT,IMPWT,product,28103,28103,Kartri Impressions Wave Decorative Top Sheet Twin 74x98 100% Polyester White 10 Per Case Price Per Each,IMPWT,37.48,25.85,10,258.5,IMPWT,25.85,10,258.5
MC-D,MC-D,product,30228,30228,Kartri Quilted Metro Coverlet Full 90x98 100% Microfiber Polyester White 10 Per Case Price Per Each,MC-D,48.94,33.75,10,337.5,MC-D,33.75,10,337.5
MC-K,MC-K,product,27160,27160,Kartri Quilted Metro Coverlet King 112x98 100% Microfiber Polyester White 10 Per Case Price Per Each,MC-K,56.84,39.2,10,392,MC-K,39.2,10,392
MC-Q,MC-Q,product,27161,27161,Kartri Quilted Metro Coverlet Queen 96x98 100% Microfiber Polyester White 10 Per Case Price Per Each,MC-Q,50.97,35.15,10,351.5,MC-Q,35.15,10,351.5
NOC-F-1,NOC-F-1,product,28295,28295,Kartri Nocturne Blend Top Sheet Full 85x110 50% poly 46% Cotton 4% Lycra White 6 Per Case Price Per Each,NOC-F-1,40.24,27.75,6,166.5,NOC-F-1,27.75,6,166.5
NOC-K-1,NOC-K-1,product,28297,28297,Kartri Nocturne Blend Top Sheet King 108x110 50% poly 46% Cotton 4% Lycra White 6 Per Case Price Per Each,NOC-K-1,48.43,33.4,6,200.39999999999998,NOC-K-1,33.4,6,200.39999999999998
NOC-Q-1,NOC-Q-1,product,28296,28296,Kartri Nocturne Blend Top Sheet Queen 93x110 50% poly 46% Cotton 4% Lycra White 6 Per Case Price Per Each,NOC-Q-1,43.5,30,6,180,NOC-Q-1,30,6,180
NOC-T-1,NOC-T-1,product,28294,28294,Kartri Nocturne Blend Top Sheet Twin 72x110 50% poly 46% Cotton 4% Lycra White 6 Per Case Price Per Each,NOC-T-1,35.89,24.75,6,148.5,NOC-T-1,24.75,6,148.5
NY,NY,product,19843,19843,Kartri Nylon Shower Curtain With Sewn Eyelets White 72x72 12 Per Case Price Per Each,NY,25.52,,,,NY,17.6,12,211.20000000000002
PF7272,PF7272,product,27186,27186,Kartri 6 Gauge Eco-Friendly Vinyl Shower Curtain With Metal Grommets 72x72 Frosty 12 Per Case Price Per Each,PF7272,8.63,,,,PF7272,5.95,12,71.4
