sku_norm,sku_raw,record_type,product_id,parent_product_id,parent_title,variant_sku,sku_cost,sku_case_pack,sku_case_cost,ahscompany_price,ahscompany_case_price,stock_status,url
EZ-DUO77-1-WSL,EZ-DUO77-1-WSL,variant,29870,29870,Kartri Hang2It Duo-Poly Shower Curtain With Window & Snap Away Liner 72x77 White 12 Per Case Price Per Each,EZ-DUO77-1-WSL,21.8,12,261.6,31.61,379.32,In Stock,https://www.ahscompany.com/Kartri-Hang2It-Duo-Poly-Shower-Curtain-With-Window-Snap-Away-Liner-72x77-White-12-Per-Case-Price-Per-Each_p_29870.html
EZ-DUO77-1C-WSL,EZ-DUO77-1C-WSL,variant,29870,29870,Kartri Hang2It Duo-Poly Shower Curtain With Window & Snap Away Liner 72x77 White 12 Per Case Price Per Each,EZ-DUO77-1C-WSL,27.7,12,332.4,40.16,481.91999999999996,In Stock,https://www.ahscompany.com/Kartri-Hang2It-Duo-Poly-Shower-Curtain-With-Window-Snap-Away-Liner-72x77-White-12-Per-Case-Price-Per-Each_p_29870.html
EZ-EP74-1-SLN-WHITE,EZ-EP74-1-SLN-White,variant,27197,27197,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Snap Away Liner 72x74 White or Beige 12 Per Case Price Per Each,EZ-EP74-1-SLN-White,29.9,12,358.79999999999995,43.36,520.3199999999999,In Stock,https://www.ahscompany.com/Kartri-Hang2It-Empire-Waffle-Polyester-Shower-Curtain-With-Snap-Away-Liner-72x74-White-or-Beige-12-Per-Case-Price-Per-Each_p_27197.html
EZ-EP74-2-SLN-BEIGE,EZ-EP74-2-SLN-Beige,variant,27197,27197,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Snap Away Liner 72x74 White or Beige 12 Per Case Price Per Each,EZ-EP74-2-SLN-Beige,29.9,12,358.79999999999995,43.36,520.3199999999999,In Stock,https://www.ahscompany.com/Kartri-Hang2It-Empire-Waffle-Polyester-Shower-Curtain-With-Snap-Away-Liner-72x74-White-or-Beige-12-Per-Case-Price-Per-Each_p_27197.html
EZ-MORE77-1-W,EZ-MORE77-1-W,product,27705,27705,Kartri Hang2It Moire Polyester Shower Curtain With Window 72x77 White 12 Per Case Price Per Each,EZ-MORE77-1-W,15.65,12,187.8,22.69,272.28000000000003,In Stock,https://www.ahscompany.com/Kartri-Hang2It-Moire-Polyester-Shower-Curtain-With-Window-72x77-White-12-Per-Case-Price-Per-Each_p_27705.html
EZ-MOREA-1,EZ-MOREA-1,product,23098,23098,Kartri Hang2It Moire Polyester Shower Curtain 72x74 White 12 Per Case Price Per Each,EZ-MOREA-1,15,12,180,21.75,261,In Stock,https://www.ahscompany.com/Kartri-Hang2It-Moire-Polyester-Shower-Curtain-72x74-White-12-Per-Case-Price-Per-Each_p_23098.html
EZ-MOREA-1-WSLN,EZ-MOREA-1-WSLN,product,30232,30232,Kartri Hang2It Moire Polyester Shower Curtain With Window & Snap Away Liner 72x74 White 12 Per Case Price Per Each,EZ-MOREA-1-WSLN,21.4,12,256.79999999999995,31.03,372.36,In Stock,https://www.ahscompany.com/Kartri-Hang2It-Moire-Polyester-Shower-Curtain-With-Window-Snap-Away-Liner-72x74-White-12-Per-Case-Price-Per-Each_p_30232.html
EZ-MS74-WB-WSLN-WHITE/BROWNTRIM,EZ-MS74-WB-WSLN-White/Brown Trim,variant,27205,27205,Kartri Hang2It Matt-Satin Polyester Shower Curtain With Window & Snap Away Liner 72x74 Chrome Buckles 12 Per Case Price Per Each,EZ-MS74-WB-WSLN-White/Brown Trim,29,12,348,42.05,504.59999999999997,In Stock,https://www.ahscompany.com/Kartri-Hang2It-Matt-Satin-Polyester-Shower-Curtain-With-Window-Snap-Away-Liner-72x74-Chrome-Buckles-12-Per-Case-Price-Per-Each_p_27205.html
EZ-MS74-WW-1WSLN,EZ-MS74-WW-1WSLN,product,27205,27205,Kartri Hang2It Matt-Satin Polyester Shower Curtain With Window & Snap Away Liner 72x74 Chrome Buckles 12 Per Case Price Per Each,EZ-MS74-WW-1WSLN,29,12,348,42.05,504.59999999999997,In Stock,https://www.ahscompany.com/Kartri-Hang2It-Matt-Satin-Polyester-Shower-Curtain-With-Window-Snap-Away-Liner-72x74-Chrome-Buckles-12-Per-Case-Price-Per-Each_p_27205.html
EZ-MS74-WW-1WSLN-WHITE/WHITETRIM,EZ-MS74-WW-1WSLN-White/White Trim,variant,27205,27205,Kartri Hang2It Matt-Satin Polyester Shower Curtain With Window & Snap Away Liner 72x74 Chrome Buckles 12 Per Case Price Per Each,EZ-MS74-WW-1WSLN-White/White Trim,29,12,348,42.05,504.59999999999997,In Stock,https://www.ahscompany.com/Kartri-Hang2It-Matt-Satin-Polyester-Shower-Curtain-With-Window-Snap-Away-Liner-72x74-Chrome-Buckles-12-Per-Case-Price-Per-Each_p_27205.html
