sku_norm,sku_raw,record_type,product_id,parent_product_id,parent_title,variant_sku,sku_cost,sku_case_pack,sku_case_cost,ahscompany_price,ahscompany_case_price,stock_status,url
NY,NY,product,19843,19843,Kartri Nylon Shower Curtain With Sewn Eyelets White 72x72 12 Per Case Price Per Each,NY,,,,25.52,,In Stock,https://www.ahscompany.com/Kartri-Nylon-Shower-Curtain-With-Sewn-Eyelets-White-72x72-12-Per-Case-Price-Per-Each_p_19843.html
NY-2,NY-2,product,30240,30240,Kartri Nylon Shower Curtain With Sewn Eyelets White 36x72 24 Per Case Price Per Each,NY-2,,,,14.86,,In Stock,https://www.ahscompany.com/Kartri-Nylon-Shower-Curtain-With-Sewn-Eyelets-White-36x72-24-Per-Case-Price-Per-Each_p_30240.html
NYCH7272-2,NYCH7272-2,product,19846,19846,Kartri Nylon Shower Curtain With Sewn Eyelets 72x72 Beige 12 Per Case Price Per Each,NYCH7272-2,,,,16.39,,In Stock,https://www.ahscompany.com/Kartri-Nylon-Shower-Curtain-With-Sewn-Eyelets-72x72-Beige-12-Per-Case-Price-Per-Each_p_19846.html
PF7272,PF7272,product,27186,27186,Kartri 6 Gauge Eco-Friendly Vinyl Shower Curtain With Metal Grommets 72x72 Frosty 12 Per Case Price Per Each,PF7272,,,,8.63,,In Stock,https://www.ahscompany.com/Kartri-6-Gauge-Eco-Friendly-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-Frosty-12-Per-Case-Price-Per-Each_p_27186.html
PVA-1WHITE,PVA-1 White,variant,19917,19917,Kartri 8 Gauge Peva Plain Vinyl Shower Curtain With Metal Grommets 72x72 White or Frosty 12 Per Case Price Per Each,PVA-1 White,,,,10.73,,In Stock,https://www.ahscompany.com/Kartri-8-Gauge-Peva-Plain-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-White-or-Frosty-12-Per-Case-Price-Per-Each_p_19917.html
PVA-24FROSTY,PVA-24 Frosty,variant,19917,19917,Kartri 8 Gauge Peva Plain Vinyl Shower Curtain With Metal Grommets 72x72 White or Frosty 12 Per Case Price Per Each,PVA-24 Frosty,,,,10.73,,In Stock,https://www.ahscompany.com/Kartri-8-Gauge-Peva-Plain-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-White-or-Frosty-12-Per-Case-Price-Per-Each_p_19917.html
PVABM,PVA BM,product,19917,19917,Kartri 8 Gauge Peva Plain Vinyl Shower Curtain With Metal Grommets 72x72 White or Frosty 12 Per Case Price Per Each,PVA BM,,,,10.73,,In Stock,https://www.ahscompany.com/Kartri-8-Gauge-Peva-Plain-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-White-or-Frosty-12-Per-Case-Price-Per-Each_p_19917.html
SBOXA,SBOXA,product,27177,27177,Kartri Satin Box Polyester Shower Curtain With Sewn Eyelets 72x72 White 12 Per Case Price Per Each,SBOXA,,,,20.16,,In Stock,https://www.ahscompany.com/Kartri-Satin-Box-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-12-Per-Case-Price-Per-Each_p_27177.html
SC-1WHITE,SC-1 White,variant,19920,19920,Kartri 8 Gauge San Crepe Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SC-1 White,,,,10.95,,In Stock,https://www.ahscompany.com/Kartri-8-Gauge-San-Crepe-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19920.html
SC-2,SC-2,product,29880,29880,Kartri 8 Gauge San Crepe Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SC-2,,,,6.6,,In Stock,https://www.ahscompany.com/Kartri-8-Gauge-San-Crepe-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29880.html
