sku_norm,sku_raw,sheet_name,matrix_rows,name_color_rows,size_variants,sizes,case_pack_variants,case_packs,min_price_each,max_price_each,name_color_examples
SW,SW,Stocked,4,1,4,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",1,12,3.9,6.5,Swirl White-1
UR,UR,Stocked,4,1,4,"72"" x 78"" | 72"" x 72"" | 48"" x 72"" | 36"" x 72""",1,12,12.6,27.4,Urban Waffle White-1
VCA,VCA,Stocked,1,1,1,"72"" x 72""",1,12,14,14,"Vision Check White-1, Beige-2"
VL3AA,VL3AA,Stocked,1,1,1,"72"" x 72""",1,12,3.75,3.75,Vinyl Liner White-1 (Packed 24/case)
VLCNAA,VLCNAA,Stocked,1,1,1,"72"" x 72""",1,12,4.1,4.1,"Vinyl Liner White-1, Beige-2 (Packed 24/case)"
VSCNAABM,VSCNAA BM,Stocked,1,1,1,"72"" x 72""",1,12,5.6,5.6,"Vinsoft White-1, Frosty-24 w/ bottom mags"
VT,VT,Stocked,4,1,4,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",1,12,3.4,5.7,"Vintaff White-1, Beige-2, Blue-7, Green-8, Frosty-24"
VTCNAA,VTCNAA,Stocked,1,1,1,"72"" x 72""",1,12,5.6,5.6,"Vintaff White-1, Beige-2"
WE,WE,Stocked,4,1,4,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",1,12,15.1,25.2,"Executive Waffle White-1, Beige-2                             
standard w/ metal grommets"
WS,WS,Stocked,4,1,4,"72"" x 78"" | 72"" x 72"" | 48"" x 72"" | 36"" x 72""",1,12,12.6,27.4,Supreme Waffle White-1
