sku_norm,ahs_sku_raw,ahs_record_type,ahs_product_id,ahs_parent_product_id,ahs_title,ahs_variant_sku,ahs_price,ahs_cost,ahs_case_pack,ahs_case_cost,price_sheet_sku_raw,price_sheet_price_each,price_sheet_case_pack,price_sheet_case_cost
SL2941,SL2941,product,19958,19958,"Kartri 11"" Open Toe Terry Bath Slippers With EVA Sole White 25 Pairs Per Case Price Per Each Pair",SL2941,2.83,1.95,25,48.75,SL2941,1.95,25,48.75
SL2941-1-CT,SL2941-1-CT,product,30243,30243,"Kartri 11"" Closed Toe Terry Bath Slippers With EVA Sole White 25 Pairs Per Case Price Per Each Pair",SL2941-1-CT,2.9,2,25,50,SL2941-1-CT,2,25,50
SV3C5MB-1,SV3C5MB-1,product,30244,30244,"Kartri 11"" Closed Toe Terry Velour Bath Slippers With EVA Sole In Carry Bag White 100 Pairs Per Case Price Per Each Pair",SV3C5MB-1,3.12,2.15,100,215,SV3C5MB-1,2.15,100,215
URBWA-D,URBWA-D,product,27157,27157,Kartri Urban Waffle Decorative Top Sheet With Square Corners Double 85x90 100% Polyester White 6 Per Case Price Per Each,URBWA-D,38.14,26.3,6,157.8,URBWA-D,26.3,6,157.8
URBWA-K,URBWA-K,product,27155,27155,Kartri Urban Waffle Decorative Top Sheet With Square Corners King 105x95 100% Polyester White 6 Per Case Price Per Each,URBWA-K,46.26,31.9,6,191.39999999999998,URBWA-K,31.9,6,191.39999999999998
URBWA-Q,URBWA-Q,product,27156,27156,Kartri Urban Waffle Decorative Top Sheet With Square Corners Queen 90x95 100% Polyester White 6 Per Case Price Per Each,URBWA-Q,40.38,27.85,6,167.10000000000002,URBWA-Q,27.85,6,167.10000000000002
URBWA-T,URBWA-T,product,27158,27158,Kartri Urban Waffle Decorative Top Sheet With Square Corners Twin 69x90 100% Polyester White 6 Per Case Price Per Each,URBWA-T,34.22,23.6,6,141.60000000000002,URBWA-T,23.6,6,141.60000000000002
WASU-D,WASU-D,product,19968,19968,Kartri Waffle Supreme Decorative Top Sheet With Square Corners Double 85x90 100% Polyester White 6 Per Case Price Per Each,WASU-D,38.14,26.3,6,157.8,WASU-D,26.3,6,157.8
WASU-K,WASU-K,product,19966,19966,Kartri Waffle Supreme Decorative Top Sheet With Square Corners King 105x95 100% Polyester White 6 Per Case Price Per Each,WASU-K,46.26,31.9,6,191.39999999999998,WASU-K,31.9,6,191.39999999999998
WASU-Q,WASU-Q,product,19967,19967,Kartri Waffle Supreme Decorative Top Sheet With Square Corners Queen 90x95 100% Polyester White 6 Per Case Price Per Each,WASU-Q,40.38,27.85,6,167.10000000000002,WASU-Q,27.85,6,167.10000000000002
WASU-T,WASU-T,product,19969,19969,Kartri Waffle Supreme Decorative Top Sheet With Square Corners Twin 69x90 100% Polyester White 6 Per Case Price Per Each,WASU-T,34.22,23.6,6,141.60000000000002,WASU-T,23.6,6,141.60000000000002
