option_sku,option_sku_compact,base_sku_norm,base_sku_raw,sheet_name,header_row,data_row,price_column_index,size_hint,case_pack,price_each,sku_case_cost,name_color_source,color_label,color_code,color_key,derivation_rule
KN-C011-S48X72-PK18,KNC011S48X72PK18,KN,KN,Stocked,9,15,5,"48"" x 72""",18,15.35,276.3,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",Gray,11,C011,base_sku + color + size + case_pack
KN-C020-S48X72-PK18,KNC020S48X72PK18,KN,KN,Stocked,9,15,5,"48"" x 72""",18,15.35,276.3,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",Dusk Rose,20,C020,base_sku + color + size + case_pack
KN-C001-S42X72-PK18,KNC001S42X72PK18,KN,KN,Stocked,9,15,6,"42"" x 72""",18,13.9,250.20000000000002,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",White,1,C001,base_sku + color + size + case_pack
KN-C002-S42X72-PK18,KNC002S42X72PK18,KN,KN,Stocked,9,15,6,"42"" x 72""",18,13.9,250.20000000000002,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",Beige,2,C002,base_sku + color + size + case_pack
KN-C007-S42X72-PK18,KNC007S42X72PK18,KN,KN,Stocked,9,15,6,"42"" x 72""",18,13.9,250.20000000000002,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",Blue,7,C007,base_sku + color + size + case_pack
KN-C011-S42X72-PK18,KNC011S42X72PK18,KN,KN,Stocked,9,15,6,"42"" x 72""",18,13.9,250.20000000000002,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",Gray,11,C011,base_sku + color + size + case_pack
KN-C020-S42X72-PK18,KNC020S42X72PK18,KN,KN,Stocked,9,15,6,"42"" x 72""",18,13.9,250.20000000000002,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",Dusk Rose,20,C020,base_sku + color + size + case_pack
KN-C001-S36X72-PK24,KNC001S36X72PK24,KN,KN,Stocked,9,15,7,"36"" x 72""",24,9.5,228,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",White,1,C001,base_sku + color + size + case_pack
KN-C002-S36X72-PK24,KNC002S36X72PK24,KN,KN,Stocked,9,15,7,"36"" x 72""",24,9.5,228,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",Beige,2,C002,base_sku + color + size + case_pack
KN-C007-S36X72-PK24,KNC007S36X72PK24,KN,KN,Stocked,9,15,7,"36"" x 72""",24,9.5,228,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20",Blue,7,C007,base_sku + color + size + case_pack
