sku_norm,sku_raw,bc_type,product_id,variant_id,bc_price,bc_cost_price,name
KN3000-DU-72,KN3000-DU-72,variant,110147,96217,,0,
KN3000-GR-36,KN3000-GR-36,variant,110147,96216,,0,
KN3000-GR-72,KN3000-GR-72,variant,110147,96215,187.32,0,
KR3010,KAR KR3010,variant,110135,96183,179.88,0,
KR3010-1,KAR KR3010-1,product,110135,,119.88,0,KARTRI| KAR-RIB| POLYESTER SHOWER CURTAIN W/ SEWN EYELETS PACK OF 12
KR3010-1-34,KAR KR3010-1-34,variant,110135,96182,119.88,0,
LWAFF,LWAFF,product,110140,,95.94,0,KARTRI| LUXOR DIAMOND WAFFLE| POLYESTER SHOWER CURTAIN W/ METAL GROMMETS PACK OF 6
LWAFF-1,LWAFF-1,variant,110140,96193,155.94,0,
LWAFF-34,LWAFF-34,variant,110140,96192,95.94,0,
MARRIOTLIKE,Marriot like,product,112419,,369.6,0,Courtyard Waffle Polyester Hotel Shower Curtain - Pack of 12
ML2007,ML2007,variant,110126,59071,155.88,0,
MQ2013,MQ2013,product,110141,,107.88,0,KARTRI| MARQUISE| POLYESTER SHOWER CURTAIN W/ SEWN EYELETS PACK OF 12
MQ2013-1,MQ2013-1,variant,110141,96195,179.88,0,
MQ2013-34,MQ2013-34,variant,110141,96194,107.88,0,
NFPA701SHOWERCURTAINS,NFPA 701 Shower curtains,product,110166,,150.3,0,KARTRI - REGENCY 8G  FLAME RETARDANT VINYL SHOWER CURTAIN W/ METAL GROMMETS - ALL SIZES!
NY2000,NY2000,variant,110148,96220,179.88,0,
NY2000-1,NY2000-1,product,110148,,107.88,0,KARTRI| NYLON LINER W/ SEWN EYELETS PACK OF 12
NY2000-1-34,NY2000-1-34,variant,110148,96219,107.88,0,
NYCNAEX,NYCNAEX,variant,110149,96222,239.88,0,
NYCNAEX-1,NYCNAEX-1,product,110149,,155.88,0,KARTRI | EXCECUTIVE FLAME RETARDANT | NYLON LINER W/ SEWN EYELETS PACK OF 12
NYCNAEX-1-34,NYCNAEX-1-34,variant,110149,96221,155.88,0,
PA2008,PA2008,variant,110155,59173,131.88,0,
RCVK-1,RCVK-1,variant,110184,59213,418.14,303,
RCVS-1,RCVS-1,variant,112114,82965,429.73,303,
RG3700-36X72-BEIGE,RG3700-36X72-BEIGE,variant,110166,96230,150.3,120,
RG3700-36X72-WHITE,RG3700-36X72-WHITE,variant,110166,96229,150.3,120,
RG3700-72X72-BEIGE,RG3700-72X72-BEIGE,variant,110166,96232,252,100.2,
RG3700-72X72-WHITE,RG3700-72X72-WHITE,variant,110166,96231,252,100.2,
SC4040,SC4040,variant,110175,96244,275.88,0,
SC4040-1,SC4040-1,product,110175,,167.88,0,KARTRI| SURE CHEK FLAME RETARDANT| LAMINATED SHOWER CURTAIN W/ METAL GROMMETS PACK OF 12
SC4040-1-36,SC4040-1-36,variant,110175,96243,167.88,0,
"SF-72""X72""12/CASE","SF - 72"" X 72"" 12/CASE",variant,111909,96186,81,59.4,
"SF36""X72""24/CASE","SF 36"" X 72"" 24/CASE",variant,111909,96187,110,72,
SF42X72|18PERPACK,SF 42x72 | 18 Per Pack,variant,111909,96189,114,78.3,
SF48X72|18PERPACK,SF 48X72 | 18 Per Pack,variant,111909,96188,121,86.4,
SL2941-OP,SL2941-OP,variant,110191,96259,65,32.5,
SN2003,SN2003,variant,110131,96161,251.88,0,
SN2003-1,SN2003-1,product,110131,,155.88,0,KARTRI| SATEIN| POLYESTER SHOWER CURTAIN W/ SEWN EYELETS PACK OF 12
SN2003-1-34,SN2003-1-34,variant,110131,96160,155.88,0,
SNWOVEN,SNWOVEN,variant,110134,96179,239.88,0,
SNWOVEN-1,SNWOVEN-1,product,110134,,155.88,0,KARTRI| SATEIN WOVEN| POLYESTER SHOWER CURTAIN W/ SEWN EYELETS PACK OF 12
