parent_product_id,title,source_url,payload_sku,missing_sku_count,category_match_status,category_match_score,matched_product_id,matched_product_sku,matched_product_name,category_ids,category_paths,image_count,first_image_url
19930,Kartri 5 Gauge Vinsoft Vinyl Shower Curtain With Metal Grommets 72x72 White or Frosty 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-5-Gauge-Vinsoft-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-White-or-Frosty-12-Per-Case-Price-Per-Each_p_19930.html,VSCNAA BM,2,matched,78.46,110151,SSCNA,KARTRI| 10 GAUGE PEBBLES| VINYL SHOWER CURTAIN W/ METAL GROMMETS 72x72 PACK OF 12,5446|5447,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Vinyl Curtains,2,https://www.ahscompany.com/assets/images/kartri/vs5700.jpg
27691,Kartri 3 Gauge Vinyl Liner With Metal Grommets 72x72 White 24 Per Case Price Per Each,https://www.ahscompany.com/Kartri-3-Gauge-Vinyl-Liner-With-Metal-Grommets-72x72-White-24-Per-Case-Price-Per-Each_p_27691.html,VL3AA,1,matched,72.22,110173,VS5700-1,KARTRI| 5 GAUGE VINSOFT| VINYL SHOWER CURTAIN W/ METAL GROMMETS PACK OF 24,5446|5447,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Vinyl Curtains,1,https://www.ahscompany.com/assets/images/kartri/vl4700.jpg
27229,Kartri Hang2It Replacement Liners 70x69 White or Beige 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-Replacement-Liners-70x69-White-or-Beige-12-Per-Case-Price-Per-Each_p_27229.html,EZ-RL1-H74,2,matched,65.0,110176,EZ-STDU,KARTRI| STARDUST EZY-HANG| POLYESTER SHOWER CURTAIN 72X74 WHITE OR BEIGE PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,2,https://www.ahscompany.com/assets/images/kartri/ez-rl-74.jpg
27226,Kartri Hang2It Replacement Liners With Window 70x54 White or Beige 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-Replacement-Liners-With-Window-70x54-White-or-Beige-12-Per-Case-Price-Per-Each_p_27226.html,EZ-RL1-74,2,matched,65.0,110176,EZ-STDU,KARTRI| STARDUST EZY-HANG| POLYESTER SHOWER CURTAIN 72X74 WHITE OR BEIGE PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,2,https://www.ahscompany.com/assets/images/kartri/ez-rl-74.jpg
27227,Kartri Hang2It Replacement Liners With Window 70x57 White or Beige 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-Replacement-Liners-With-Window-70x57-White-or-Beige-12-Per-Case-Price-Per-Each_p_27227.html,EZ-RL1-77,2,matched,65.0,110176,EZ-STDU,KARTRI| STARDUST EZY-HANG| POLYESTER SHOWER CURTAIN 72X74 WHITE OR BEIGE PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,2,https://www.ahscompany.com/assets/images/kartri/ez-rl-74.jpg
19953,Kartri Rubber Bath Mats 13.5x30 White or Beige 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Rubber-Bath-Mats-135x30-White-or-Beige-12-Per-Case-Price-Per-Each_p_19953.html,BMT06,2,matched,106.82,110187,BMT06,KARTRI| RUBBER BATH MATS 29X13 1/2 WHITE OR BEIGE PACK OF 12,5396,Hotel Bathroom Supplies,1,https://www.ahscompany.com/assets/images/kartri/bmt06.jpg
27217,Kartri Hang2It 8 Gauge Vinyl Shower Curtain 72x74 White Or Beige 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-8-Gauge-Vinyl-Shower-Curtain-72x74-White-Or-Beige-12-Per-Case-Price-Per-Each_p_27217.html,EZ-V8-1,2,matched,79.55,110176,EZ-STDU,KARTRI| STARDUST EZY-HANG| POLYESTER SHOWER CURTAIN 72X74 WHITE OR BEIGE PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,4,https://www.ahscompany.com/assets/images/kartri/ez-v8-1new1.jpg
27717,Kartri Hang2It 8 Gauge Vinyl Shower Curtain 72x77 White 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-8-Gauge-Vinyl-Shower-Curtain-72x77-White-12-Per-Case-Price-Per-Each_p_27717.html,EZ-V87177-1,1,matched,43.33,110154,FT8700-1,KARTRI| 8 GAUGE FORESTER| VINYL SHOWER CURTAIN W/ METAL GROMMETS PACK OF 12,5446|5447,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Vinyl Curtains,2,https://www.ahscompany.com/assets/images/kartri/ez-v8-1new1.jpg
27699,Kartri Hang2It Duo-Poly Shower Curtain With Window & Snap Away Liner 72x74 White 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-Duo-Poly-Shower-Curtain-With-Window-Snap-Away-Liner-72x74-White-12-Per-Case-Price-Per-Each_p_27699.html,EZ-DUO74-1-WSL,2,matched,53.89,110178,EZ-RASE,KARTRI| RAMSEY EZY-HANG| POLYESTER SHOWER CURTAIN 72x74 PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,4,https://www.ahscompany.com/assets/images/kartri/duopolywhitewhite1.jpg
29870,Kartri Hang2It Duo-Poly Shower Curtain With Window & Snap Away Liner 72x77 White 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-Duo-Poly-Shower-Curtain-With-Window-Snap-Away-Liner-72x77-White-12-Per-Case-Price-Per-Each_p_29870.html,EZ-DUO77-1-WSL,2,matched,39.0,110178,EZ-RASE,KARTRI| RAMSEY EZY-HANG| POLYESTER SHOWER CURTAIN 72x74 PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,3,https://www.ahscompany.com/assets/images/kartri/e2z-duo74-1-wsl_2.jpg
