batch_number,cleanup_reason,review_target_spec,entity_type,entity_id,entity_name,entity_url,metafield_id,metafield_key,remote_value_state,active_publication_match_status,policy_block_reason,storefront_url,storefront_check_command
3,orphan_remote,product:111362:11214,product,111362,Hookless Shower Curtains | Escape Collection,/hookless-shower-curtains-escape-collection/,11214,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/hookless-shower-curtains-escape-collection/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/hookless-shower-curtains-escape-collection/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111363:11215,product,111363,Hookless | Illusion  Shower Curtain | Pack of 12,/illusion-hookless-polyester-shower-curtain-pack-of-12/,11215,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/illusion-hookless-polyester-shower-curtain-pack-of-12/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/illusion-hookless-polyester-shower-curtain-pack-of-12/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111364:11216,product,111364,Litchfield | Hookless Shower Curtain | Pack of 12,/litchfield-hookless-polyester-shower-curtain-pack-of-12/,11216,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/litchfield-hookless-polyester-shower-curtain-pack-of-12/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/litchfield-hookless-polyester-shower-curtain-pack-of-12/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111365:11217,product,111365,Madison by Hookless Shower Curtains | Pack of 12,/madison-by-hookless-shower-curtains-pack-of-12/,11217,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/madison-by-hookless-shower-curtains-pack-of-12/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/madison-by-hookless-shower-curtains-pack-of-12/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111367:11218,product,111367,Mystery | Hookless | Polyester | Shower Curtain | Pack of 12,/mystery-hookless-polyester-shower-curtain-pack-of-12/,11218,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/mystery-hookless-polyester-shower-curtain-pack-of-12/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/mystery-hookless-polyester-shower-curtain-pack-of-12/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111369:11219,product,111369,Reflection | Hookless | Polyester | Shower Curtain | Pack of 12,/reflection-hookless-polyester-shower-curtain-pack-of-12/,11219,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/reflection-hookless-polyester-shower-curtain-pack-of-12/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/reflection-hookless-polyester-shower-curtain-pack-of-12/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111370:11252,product,111370,Hookless Shimmy Square Shower Curtains - case of 12,/products/hookless-shimmy-square-shower-curtains-case-of-12.html,11252,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/products/hookless-shimmy-square-shower-curtains-case-of-12.html,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/products/hookless-shimmy-square-shower-curtains-case-of-12.html' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111377:11220,product,111377,Hookless Waves Shower Curtain | Pack of 12,/hookless-waves-shower-curtain-pack-of-12/,11220,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/hookless-waves-shower-curtain-pack-of-12/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/hookless-waves-shower-curtain-pack-of-12/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111566:11344,product,111566,HOSPITALITY 1 SOURCE | UTILITY CART - All Styles and Wheel Sizes,/hospitality-1-source-utility-cart-all-styles-and-wheel-sizes/,11344,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/hospitality-1-source-utility-cart-all-styles-and-wheel-sizes/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/hospitality-1-source-utility-cart-all-styles-and-wheel-sizes/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111567:11222,product,111567,COMPACT LUGGAGE CARTS WITH DECKING,/compact-luggage-carts-with-decking/,11222,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/compact-luggage-carts-with-decking/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/compact-luggage-carts-with-decking/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111571:11223,product,111571,HOSPITALITY 1 SOURCE | ESTATE SERIES | BELLMAN CART - All Styles,/hospitality-1-source-estate-series-bellman-cart-all-styles/,11223,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/hospitality-1-source-estate-series-bellman-cart-all-styles/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/hospitality-1-source-estate-series-bellman-cart-all-styles/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111572:11224,product,111572,BELLMAN'S CART | BOARDWALK BY HOSPITALITY 1 SOURCE,/bellmans-cart-boardwalk-by-hospitality-1-source/,11224,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/bellmans-cart-boardwalk-by-hospitality-1-source/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/bellmans-cart-boardwalk-by-hospitality-1-source/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111580:11227,product,111580,BELLMAN'S CART | CLASSIC SERIES - ALL STYLES,/bellmans-cart-classic-series-all-styles/,11227,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/bellmans-cart-classic-series-all-styles/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/bellmans-cart-classic-series-all-styles/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111582:11228,product,111582,Bellman'S Cart | Transporter - All Styles & Deckings,/bellmans-cart-transporter-all-styles-deckings/,11228,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/bellmans-cart-transporter-all-styles-deckings/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/bellmans-cart-transporter-all-styles-deckings/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111589:11327,product,111589,Continuous Comfort Enviroloft (Down Alternative) Duvet Inserts,/downlite-wholesale-bedding-enviroloft/,11327,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/downlite-wholesale-bedding-enviroloft/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/downlite-wholesale-bedding-enviroloft/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111642:11347,product,111642,Martex Millennium T300 Hotel Sheets - All Sizes!,/martex-millennium-t300-hotel-sheets-all-sizes/,11347,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/martex-millennium-t300-hotel-sheets-all-sizes/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/martex-millennium-t300-hotel-sheets-all-sizes/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111660:11350,product,111660,Oxford Super Blend T-200 By Ganesh Mills- All Sizes!,/oxford-super-blend-t-200-by-ganesh-mills-all-sizes/,11350,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/oxford-super-blend-t-200-by-ganesh-mills-all-sizes/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/oxford-super-blend-t-200-by-ganesh-mills-all-sizes/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:111665:11229,product,111665,NESTABLE COMPACT LUGGAGE CARRIER,/nestable-compact-luggage-carrier/,11229,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/nestable-compact-luggage-carrier/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/nestable-compact-luggage-carrier/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:112030:11230,product,112030,Sico Mobile Sleeper | Portable Twin / Full Size Rollaway Bed & Mattress,/sico-mobile-sleeper-portable-twin-full-size-rollaway-bed-mattress/,11230,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/sico-mobile-sleeper-portable-twin-full-size-rollaway-bed-mattress/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/sico-mobile-sleeper-portable-twin-full-size-rollaway-bed-mattress/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:112072:11231,product,112072,Compact Luggage Carrier- LUG-A-BOUT by CSL,/compact-luggage-carrier-lug-a-bout-by-csl/,11231,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/compact-luggage-carrier-lug-a-bout-by-csl/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/compact-luggage-carrier-lug-a-bout-by-csl/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:112073:11232,product,112073,"Uptown Series | Heavy Duty Bellman Cart - Angled Top | 1.5"""", tube",/uptown-series-heavy-duty-bellman-cart-angled-top-1-5-tube/,11232,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/uptown-series-heavy-duty-bellman-cart-angled-top-1-5-tube/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/uptown-series-heavy-duty-bellman-cart-angled-top-1-5-tube/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
3,orphan_remote,product:112074:11233,product,112074,Bellman Cart | Town Square Series |,/bellman-cart-town-square-series/,11233,internal_links_html,link_html,missing,,https://www.hotels4humanity.com/bellman-cart-town-square-series/,$html=(Invoke-WebRequest -Uri 'https://www.hotels4humanity.com/bellman-cart-town-square-series/' -UseBasicParsing -TimeoutSec 60).Content; [PSCustomObject]@{ContainsRouteAuthorityBlock=($html -match 'h4h-internal-links'); ContainsExpectedHeading=($html -match 'Related options')}
